verse_key,clean_verse,tafsir_ibn_kathir
2:262,الذين ينفقون اموٰلهم فى سبيل الله ثم لا يتبعون ما انفقوا منا ولا اذى ۙ لهم اجرهم عند ربهم ولا خوف عليهم ولا هم يحزنون,Tafsir text placeholder for verse 2:262
2:263,قول معروف ومغفرة خير من صدقة يتبعها اذى ۗ والله غنى حليم,Tafsir text placeholder for verse 2:263
2:264,يـٰايها الذين ءامنوا لا تبطلوا صدقـٰتكم بالمن والاذىٰ كالذى ينفق ماله رئاء الناس ولا يؤمن بالله واليوم الـٔاخر ۖ فمثله كمثل صفوان عليه تراب فاصابه وابل فتركه صلدا ۖ لا يقدرون علىٰ شىء مما كسبوا ۗ والله لا يهدى القوم الكـٰفرين,Tafsir text placeholder for verse 2:264
2:265,ومثل الذين ينفقون اموٰلهم ابتغاء مرضات الله وتثبيتا من انفسهم كمثل جنة بربوة اصابها وابل فـٔاتت اكلها ضعفين فان لم يصبها وابل فطل ۗ والله بما تعملون بصير,Tafsir text placeholder for verse 2:265
2:266,ايود احدكم ان تكون له جنة من نخيل واعناب تجرى من تحتها الانهـٰر له فيها من كل الثمرٰت واصابه الكبر وله ذرية ضعفاء فاصابها اعصار فيه نار فاحترقت ۗ كذٰلك يبين الله لكم الـٔايـٰت لعلكم تتفكرون,Tafsir text placeholder for verse 2:266
2:267,يـٰايها الذين ءامنوا انفقوا من طيبـٰت ما كسبتم ومما اخرجنا لكم من الارض ۖ ولا تيمموا الخبيث منه تنفقون ولستم بـٔاخذيه الا ان تغمضوا فيه ۚ واعلموا ان الله غنى حميد,Tafsir text placeholder for verse 2:267
2:268,الشيطـٰن يعدكم الفقر ويامركم بالفحشاء ۖ والله يعدكم مغفرة منه وفضلا ۗ والله وٰسع عليم,Tafsir text placeholder for verse 2:268
2:269,يؤتى الحكمة من يشاء ۚ ومن يؤت الحكمة فقد اوتى خيرا كثيرا ۗ وما يذكر الا اولوا الالبـٰب,Tafsir text placeholder for verse 2:269
2:270,وما انفقتم من نفقة او نذرتم من نذر فان الله يعلمه ۗ وما للظـٰلمين من انصار,Tafsir text placeholder for verse 2:270
2:271,ان تبدوا الصدقـٰت فنعما هى ۖ وان تخفوها وتؤتوها الفقراء فهو خير لكم ۚ ويكفر عنكم من سيـٔاتكم ۗ والله بما تعملون خبير,Tafsir text placeholder for verse 2:271
2:272,ليس عليك هدىٰهم ولـٰكن الله يهدى من يشاء ۗ وما تنفقوا من خير فلانفسكم ۚ وما تنفقون الا ابتغاء وجه الله ۚ وما تنفقوا من خير يوف اليكم وانتم لا تظلمون,Tafsir text placeholder for verse 2:272
2:273,للفقراء الذين احصروا فى سبيل الله لا يستطيعون ضربا فى الارض يحسبهم الجاهل اغنياء من التعفف تعرفهم بسيمـٰهم لا يسـٔلون الناس الحافا ۗ وما تنفقوا من خير فان الله به عليم,Tafsir text placeholder for verse 2:273
2:274,الذين ينفقون اموٰلهم باليل والنهار سرا وعلانية فلهم اجرهم عند ربهم ولا خوف عليهم ولا هم يحزنون,Tafsir text placeholder for verse 2:274
2:275,الذين ياكلون الربوٰا۟ لا يقومون الا كما يقوم الذى يتخبطه الشيطـٰن من المس ۚ ذٰلك بانهم قالوا انما البيع مثل الربوٰا۟ ۗ واحل الله البيع وحرم الربوٰا۟ ۚ فمن جاءه موعظة من ربه فانتهىٰ فله ما سلف وامره الى الله ۖ ومن عاد فاولـٰئك اصحـٰب النار ۖ هم فيها خـٰلدون,Tafsir text placeholder for verse 2:275
2:276,يمحق الله الربوٰا۟ ويربى الصدقـٰت ۗ والله لا يحب كل كفار اثيم,Tafsir text placeholder for verse 2:276
2:277,ان الذين ءامنوا وعملوا الصـٰلحـٰت واقاموا الصلوٰة وءاتوا الزكوٰة لهم اجرهم عند ربهم ولا خوف عليهم ولا هم يحزنون,Tafsir text placeholder for verse 2:277
2:278,يـٰايها الذين ءامنوا اتقوا الله وذروا ما بقى من الربوٰا۟ ان كنتم مؤمنين,Tafsir text placeholder for verse 2:278
2:279,فان لم تفعلوا فاذنوا بحرب من الله ورسوله ۖ وان تبتم فلكم رءوس اموٰلكم لا تظلمون ولا تظلمون,Tafsir text placeholder for verse 2:279
2:280,وان كان ذو عسرة فنظرة الىٰ ميسرة ۚ وان تصدقوا خير لكم ۖ ان كنتم تعلمون,Tafsir text placeholder for verse 2:280
2:281,واتقوا يوما ترجعون فيه الى الله ۖ ثم توفىٰ كل نفس ما كسبت وهم لا يظلمون,Tafsir text placeholder for verse 2:281
2:282,يـٰايها الذين ءامنوا اذا تداينتم بدين الىٰ اجل مسمى فاكتبوه ۚ وليكتب بينكم كاتب بالعدل ۚ ولا ياب كاتب ان يكتب كما علمه الله ۚ فليكتب وليملل الذى عليه الحق وليتق الله ربه ولا يبخس منه شيـٔا ۚ فان كان الذى عليه الحق سفيها او ضعيفا او لا يستطيع ان يمل هو فليملل وليه بالعدل ۚ واستشهدوا شهيدين من رجالكم ۖ فان لم يكونا رجلين فرجل وامراتان ممن ترضون من الشهداء ان تضل احدىٰهما فتذكر احدىٰهما الاخرىٰ ۚ ولا ياب الشهداء اذا ما دعوا ۚ ولا تسـٔموا ان تكتبوه صغيرا او كبيرا الىٰ اجله ۚ ذٰلكم اقسط عند الله واقوم للشهـٰدة وادنىٰ الا ترتابوا ۖ الا ان تكون تجـٰرة حاضرة تديرونها بينكم فليس عليكم جناح الا تكتبوها ۗ واشهدوا اذا تبايعتم ۚ ولا يضار كاتب ولا شهيد ۚ وان تفعلوا فانه فسوق بكم ۗ واتقوا الله ۖ ويعلمكم الله ۗ والله بكل شىء عليم,Tafsir text placeholder for verse 2:282
2:283,وان كنتم علىٰ سفر ولم تجدوا كاتبا فرهـٰن مقبوضة ۖ فان امن بعضكم بعضا فليؤد الذى اؤتمن امـٰنته وليتق الله ربه ۗ ولا تكتموا الشهـٰدة ۚ ومن يكتمها فانه ءاثم قلبه ۗ والله بما تعملون عليم,Tafsir text placeholder for verse 2:283
2:284,لله ما فى السمـٰوٰت وما فى الارض ۗ وان تبدوا ما فى انفسكم او تخفوه يحاسبكم به الله ۖ فيغفر لمن يشاء ويعذب من يشاء ۗ والله علىٰ كل شىء قدير,Tafsir text placeholder for verse 2:284
2:285,ءامن الرسول بما انزل اليه من ربه والمؤمنون ۚ كل ءامن بالله وملـٰئكته وكتبه ورسله لا نفرق بين احد من رسله ۚ وقالوا سمعنا واطعنا ۖ غفرانك ربنا واليك المصير,Tafsir text placeholder for verse 2:285
2:286,لا يكلف الله نفسا الا وسعها ۚ لها ما كسبت وعليها ما اكتسبت ۗ ربنا لا تؤاخذنا ان نسينا او اخطانا ۚ ربنا ولا تحمل علينا اصرا كما حملته على الذين من قبلنا ۚ ربنا ولا تحملنا ما لا طاقة لنا به ۖ واعف عنا واغفر لنا وارحمنا ۚ انت مولىٰنا فانصرنا على القوم الكـٰفرين,Tafsir text placeholder for verse 2:286
3:1,الم,Tafsir text placeholder for verse 3:1
3:2,الله لا الـٰه الا هو الحى القيوم,Tafsir text placeholder for verse 3:2
3:3,نزل عليك الكتـٰب بالحق مصدقا لما بين يديه وانزل التورىٰة والانجيل,Tafsir text placeholder for verse 3:3
3:4,من قبل هدى للناس وانزل الفرقان ۗ ان الذين كفروا بـٔايـٰت الله لهم عذاب شديد ۗ والله عزيز ذو انتقام,Tafsir text placeholder for verse 3:4
3:5,ان الله لا يخفىٰ عليه شىء فى الارض ولا فى السماء,Tafsir text placeholder for verse 3:5
3:6,هو الذى يصوركم فى الارحام كيف يشاء ۚ لا الـٰه الا هو العزيز الحكيم,Tafsir text placeholder for verse 3:6
3:7,هو الذى انزل عليك الكتـٰب منه ءايـٰت محكمـٰت هن ام الكتـٰب واخر متشـٰبهـٰت ۖ فاما الذين فى قلوبهم زيغ فيتبعون ما تشـٰبه منه ابتغاء الفتنة وابتغاء تاويله ۗ وما يعلم تاويله الا الله ۗ والرٰسخون فى العلم يقولون ءامنا به كل من عند ربنا ۗ وما يذكر الا اولوا الالبـٰب,Tafsir text placeholder for verse 3:7
3:8,ربنا لا تزغ قلوبنا بعد اذ هديتنا وهب لنا من لدنك رحمة ۚ انك انت الوهاب,Tafsir text placeholder for verse 3:8
3:9,ربنا انك جامع الناس ليوم لا ريب فيه ۚ ان الله لا يخلف الميعاد,Tafsir text placeholder for verse 3:9
3:10,ان الذين كفروا لن تغنى عنهم اموٰلهم ولا اولـٰدهم من الله شيـٔا ۖ واولـٰئك هم وقود النار,Tafsir text placeholder for verse 3:10
3:11,كداب ءال فرعون والذين من قبلهم ۚ كذبوا بـٔايـٰتنا فاخذهم الله بذنوبهم ۗ والله شديد العقاب,Tafsir text placeholder for verse 3:11
3:12,قل للذين كفروا ستغلبون وتحشرون الىٰ جهنم ۚ وبئس المهاد,Tafsir text placeholder for verse 3:12
3:13,قد كان لكم ءاية فى فئتين التقتا ۖ فئة تقـٰتل فى سبيل الله واخرىٰ كافرة يرونهم مثليهم راى العين ۚ والله يؤيد بنصره من يشاء ۗ ان فى ذٰلك لعبرة لاولى الابصـٰر,Tafsir text placeholder for verse 3:13
3:14,زين للناس حب الشهوٰت من النساء والبنين والقنـٰطير المقنطرة من الذهب والفضة والخيل المسومة والانعـٰم والحرث ۗ ذٰلك متـٰع الحيوٰة الدنيا ۖ والله عنده حسن المـٔاب,Tafsir text placeholder for verse 3:14
3:15,قل اؤنبئكم بخير من ذٰلكم ۚ للذين اتقوا عند ربهم جنـٰت تجرى من تحتها الانهـٰر خـٰلدين فيها وازوٰج مطهرة ورضوٰن من الله ۗ والله بصير بالعباد,Tafsir text placeholder for verse 3:15
3:16,الذين يقولون ربنا اننا ءامنا فاغفر لنا ذنوبنا وقنا عذاب النار,Tafsir text placeholder for verse 3:16
3:17,الصـٰبرين والصـٰدقين والقـٰنتين والمنفقين والمستغفرين بالاسحار,Tafsir text placeholder for verse 3:17
3:18,شهد الله انه لا الـٰه الا هو والملـٰئكة واولوا العلم قائما بالقسط ۚ لا الـٰه الا هو العزيز الحكيم,Tafsir text placeholder for verse 3:18
3:19,ان الدين عند الله الاسلـٰم ۗ وما اختلف الذين اوتوا الكتـٰب الا من بعد ما جاءهم العلم بغيا بينهم ۗ ومن يكفر بـٔايـٰت الله فان الله سريع الحساب,Tafsir text placeholder for verse 3:19
3:20,فان حاجوك فقل اسلمت وجهى لله ومن اتبعن ۗ وقل للذين اوتوا الكتـٰب والاميـۧن ءاسلمتم ۚ فان اسلموا فقد اهتدوا ۖ وان تولوا فانما عليك البلـٰغ ۗ والله بصير بالعباد,Tafsir text placeholder for verse 3:20
3:21,ان الذين يكفرون بـٔايـٰت الله ويقتلون النبيـۧن بغير حق ويقتلون الذين يامرون بالقسط من الناس فبشرهم بعذاب اليم,Tafsir text placeholder for verse 3:21
3:22,اولـٰئك الذين حبطت اعمـٰلهم فى الدنيا والـٔاخرة وما لهم من نـٰصرين,Tafsir text placeholder for verse 3:22
3:23,الم تر الى الذين اوتوا نصيبا من الكتـٰب يدعون الىٰ كتـٰب الله ليحكم بينهم ثم يتولىٰ فريق منهم وهم معرضون,Tafsir text placeholder for verse 3:23
3:24,ذٰلك بانهم قالوا لن تمسنا النار الا اياما معدودٰت ۖ وغرهم فى دينهم ما كانوا يفترون,Tafsir text placeholder for verse 3:24
3:25,فكيف اذا جمعنـٰهم ليوم لا ريب فيه ووفيت كل نفس ما كسبت وهم لا يظلمون,Tafsir text placeholder for verse 3:25
3:26,قل اللهم مـٰلك الملك تؤتى الملك من تشاء وتنزع الملك ممن تشاء وتعز من تشاء وتذل من تشاء ۖ بيدك الخير ۖ انك علىٰ كل شىء قدير,Tafsir text placeholder for verse 3:26
3:27,تولج اليل فى النهار وتولج النهار فى اليل ۖ وتخرج الحى من الميت وتخرج الميت من الحى ۖ وترزق من تشاء بغير حساب,Tafsir text placeholder for verse 3:27
3:28,لا يتخذ المؤمنون الكـٰفرين اولياء من دون المؤمنين ۖ ومن يفعل ذٰلك فليس من الله فى شىء الا ان تتقوا منهم تقىٰة ۗ ويحذركم الله نفسه ۗ والى الله المصير,Tafsir text placeholder for verse 3:28
3:29,قل ان تخفوا ما فى صدوركم او تبدوه يعلمه الله ۗ ويعلم ما فى السمـٰوٰت وما فى الارض ۗ والله علىٰ كل شىء قدير,Tafsir text placeholder for verse 3:29
3:30,يوم تجد كل نفس ما عملت من خير محضرا وما عملت من سوء تود لو ان بينها وبينه امدا بعيدا ۗ ويحذركم الله نفسه ۗ والله رءوف بالعباد,Tafsir text placeholder for verse 3:30
3:31,قل ان كنتم تحبون الله فاتبعونى يحببكم الله ويغفر لكم ذنوبكم ۗ والله غفور رحيم,Tafsir text placeholder for verse 3:31
3:32,قل اطيعوا الله والرسول ۖ فان تولوا فان الله لا يحب الكـٰفرين,Tafsir text placeholder for verse 3:32
3:33,ان الله اصطفىٰ ءادم ونوحا وءال ابرٰهيم وءال عمرٰن على العـٰلمين,Tafsir text placeholder for verse 3:33
3:34,ذرية بعضها من بعض ۗ والله سميع عليم,Tafsir text placeholder for verse 3:34
3:35,اذ قالت امرات عمرٰن رب انى نذرت لك ما فى بطنى محررا فتقبل منى ۖ انك انت السميع العليم,Tafsir text placeholder for verse 3:35
3:36,فلما وضعتها قالت رب انى وضعتها انثىٰ والله اعلم بما وضعت وليس الذكر كالانثىٰ ۖ وانى سميتها مريم وانى اعيذها بك وذريتها من الشيطـٰن الرجيم,Tafsir text placeholder for verse 3:36
3:37,فتقبلها ربها بقبول حسن وانبتها نباتا حسنا وكفلها زكريا ۖ كلما دخل عليها زكريا المحراب وجد عندها رزقا ۖ قال يـٰمريم انىٰ لك هـٰذا ۖ قالت هو من عند الله ۖ ان الله يرزق من يشاء بغير حساب,Tafsir text placeholder for verse 3:37
3:38,هنالك دعا زكريا ربه ۖ قال رب هب لى من لدنك ذرية طيبة ۖ انك سميع الدعاء,Tafsir text placeholder for verse 3:38
3:39,فنادته الملـٰئكة وهو قائم يصلى فى المحراب ان الله يبشرك بيحيىٰ مصدقا بكلمة من الله وسيدا وحصورا ونبيا من الصـٰلحين,Tafsir text placeholder for verse 3:39
3:40,قال رب انىٰ يكون لى غلـٰم وقد بلغنى الكبر وامراتى عاقر ۖ قال كذٰلك الله يفعل ما يشاء,Tafsir text placeholder for verse 3:40
3:41,قال رب اجعل لى ءاية ۖ قال ءايتك الا تكلم الناس ثلـٰثة ايام الا رمزا ۗ واذكر ربك كثيرا وسبح بالعشى والابكـٰر,Tafsir text placeholder for verse 3:41
3:42,واذ قالت الملـٰئكة يـٰمريم ان الله اصطفىٰك وطهرك واصطفىٰك علىٰ نساء العـٰلمين,Tafsir text placeholder for verse 3:42
3:43,يـٰمريم اقنتى لربك واسجدى واركعى مع الرٰكعين,Tafsir text placeholder for verse 3:43
3:44,ذٰلك من انباء الغيب نوحيه اليك ۚ وما كنت لديهم اذ يلقون اقلـٰمهم ايهم يكفل مريم وما كنت لديهم اذ يختصمون,Tafsir text placeholder for verse 3:44
3:45,اذ قالت الملـٰئكة يـٰمريم ان الله يبشرك بكلمة منه اسمه المسيح عيسى ابن مريم وجيها فى الدنيا والـٔاخرة ومن المقربين,Tafsir text placeholder for verse 3:45
3:46,ويكلم الناس فى المهد وكهلا ومن الصـٰلحين,Tafsir text placeholder for verse 3:46
3:47,قالت رب انىٰ يكون لى ولد ولم يمسسنى بشر ۖ قال كذٰلك الله يخلق ما يشاء ۚ اذا قضىٰ امرا فانما يقول له كن فيكون,Tafsir text placeholder for verse 3:47
3:48,ويعلمه الكتـٰب والحكمة والتورىٰة والانجيل,Tafsir text placeholder for verse 3:48
3:49,ورسولا الىٰ بنى اسرٰءيل انى قد جئتكم بـٔاية من ربكم ۖ انى اخلق لكم من الطين كهيـٔة الطير فانفخ فيه فيكون طيرا باذن الله ۖ وابرئ الاكمه والابرص واحى الموتىٰ باذن الله ۖ وانبئكم بما تاكلون وما تدخرون فى بيوتكم ۚ ان فى ذٰلك لـٔاية لكم ان كنتم مؤمنين,Tafsir text placeholder for verse 3:49
3:50,ومصدقا لما بين يدى من التورىٰة ولاحل لكم بعض الذى حرم عليكم ۚ وجئتكم بـٔاية من ربكم فاتقوا الله واطيعون,Tafsir text placeholder for verse 3:50
3:51,ان الله ربى وربكم فاعبدوه ۗ هـٰذا صرٰط مستقيم,Tafsir text placeholder for verse 3:51
3:52,فلما احس عيسىٰ منهم الكفر قال من انصارى الى الله ۖ قال الحواريون نحن انصار الله ءامنا بالله واشهد بانا مسلمون,Tafsir text placeholder for verse 3:52
3:53,ربنا ءامنا بما انزلت واتبعنا الرسول فاكتبنا مع الشـٰهدين,Tafsir text placeholder for verse 3:53
3:54,ومكروا ومكر الله ۖ والله خير المـٰكرين,Tafsir text placeholder for verse 3:54
3:55,اذ قال الله يـٰعيسىٰ انى متوفيك ورافعك الى ومطهرك من الذين كفروا وجاعل الذين اتبعوك فوق الذين كفروا الىٰ يوم القيـٰمة ۖ ثم الى مرجعكم فاحكم بينكم فيما كنتم فيه تختلفون,Tafsir text placeholder for verse 3:55
3:56,فاما الذين كفروا فاعذبهم عذابا شديدا فى الدنيا والـٔاخرة وما لهم من نـٰصرين,Tafsir text placeholder for verse 3:56
3:57,واما الذين ءامنوا وعملوا الصـٰلحـٰت فيوفيهم اجورهم ۗ والله لا يحب الظـٰلمين,Tafsir text placeholder for verse 3:57
3:58,ذٰلك نتلوه عليك من الـٔايـٰت والذكر الحكيم,Tafsir text placeholder for verse 3:58
3:59,ان مثل عيسىٰ عند الله كمثل ءادم ۖ خلقه من تراب ثم قال له كن فيكون,Tafsir text placeholder for verse 3:59
3:60,الحق من ربك فلا تكن من الممترين,Tafsir text placeholder for verse 3:60
3:61,فمن حاجك فيه من بعد ما جاءك من العلم فقل تعالوا ندع ابناءنا وابناءكم ونساءنا ونساءكم وانفسنا وانفسكم ثم نبتهل فنجعل لعنت الله على الكـٰذبين,Tafsir text placeholder for verse 3:61
3:62,ان هـٰذا لهو القصص الحق ۚ وما من الـٰه الا الله ۚ وان الله لهو العزيز الحكيم,Tafsir text placeholder for verse 3:62
3:63,فان تولوا فان الله عليم بالمفسدين,Tafsir text placeholder for verse 3:63
3:64,قل يـٰاهل الكتـٰب تعالوا الىٰ كلمة سواء بيننا وبينكم الا نعبد الا الله ولا نشرك به شيـٔا ولا يتخذ بعضنا بعضا اربابا من دون الله ۚ فان تولوا فقولوا اشهدوا بانا مسلمون,Tafsir text placeholder for verse 3:64
3:65,يـٰاهل الكتـٰب لم تحاجون فى ابرٰهيم وما انزلت التورىٰة والانجيل الا من بعده ۚ افلا تعقلون,Tafsir text placeholder for verse 3:65
3:66,هـٰانتم هـٰؤلاء حـٰججتم فيما لكم به علم فلم تحاجون فيما ليس لكم به علم ۚ والله يعلم وانتم لا تعلمون,Tafsir text placeholder for verse 3:66
3:67,ما كان ابرٰهيم يهوديا ولا نصرانيا ولـٰكن كان حنيفا مسلما وما كان من المشركين,Tafsir text placeholder for verse 3:67
3:68,ان اولى الناس بابرٰهيم للذين اتبعوه وهـٰذا النبى والذين ءامنوا ۗ والله ولى المؤمنين,Tafsir text placeholder for verse 3:68
3:69,ودت طائفة من اهل الكتـٰب لو يضلونكم وما يضلون الا انفسهم وما يشعرون,Tafsir text placeholder for verse 3:69
3:70,يـٰاهل الكتـٰب لم تكفرون بـٔايـٰت الله وانتم تشهدون,Tafsir text placeholder for verse 3:70
3:71,يـٰاهل الكتـٰب لم تلبسون الحق بالبـٰطل وتكتمون الحق وانتم تعلمون,Tafsir text placeholder for verse 3:71
3:72,وقالت طائفة من اهل الكتـٰب ءامنوا بالذى انزل على الذين ءامنوا وجه النهار واكفروا ءاخره لعلهم يرجعون,Tafsir text placeholder for verse 3:72
3:73,ولا تؤمنوا الا لمن تبع دينكم قل ان الهدىٰ هدى الله ان يؤتىٰ احد مثل ما اوتيتم او يحاجوكم عند ربكم ۗ قل ان الفضل بيد الله يؤتيه من يشاء ۗ والله وٰسع عليم,Tafsir text placeholder for verse 3:73
3:74,يختص برحمته من يشاء ۗ والله ذو الفضل العظيم,Tafsir text placeholder for verse 3:74
3:75,ومن اهل الكتـٰب من ان تامنه بقنطار يؤده اليك ومنهم من ان تامنه بدينار لا يؤده اليك الا ما دمت عليه قائما ۗ ذٰلك بانهم قالوا ليس علينا فى الاميـۧن سبيل ويقولون على الله الكذب وهم يعلمون,Tafsir text placeholder for verse 3:75
3:76,بلىٰ من اوفىٰ بعهده واتقىٰ فان الله يحب المتقين,Tafsir text placeholder for verse 3:76
3:77,ان الذين يشترون بعهد الله وايمـٰنهم ثمنا قليلا اولـٰئك لا خلـٰق لهم فى الـٔاخرة ولا يكلمهم الله ولا ينظر اليهم يوم القيـٰمة ولا يزكيهم ولهم عذاب اليم,Tafsir text placeholder for verse 3:77
3:78,وان منهم لفريقا يلوۥن السنتهم بالكتـٰب لتحسبوه من الكتـٰب وما هو من الكتـٰب ويقولون هو من عند الله وما هو من عند الله ويقولون على الله الكذب وهم يعلمون,Tafsir text placeholder for verse 3:78
3:79,ما كان لبشر ان يؤتيه الله الكتـٰب والحكم والنبوة ثم يقول للناس كونوا عبادا لى من دون الله ولـٰكن كونوا ربـٰنيـۧن بما كنتم تعلمون الكتـٰب وبما كنتم تدرسون,Tafsir text placeholder for verse 3:79
3:80,ولا يامركم ان تتخذوا الملـٰئكة والنبيـۧن اربابا ۗ ايامركم بالكفر بعد اذ انتم مسلمون,Tafsir text placeholder for verse 3:80
3:81,واذ اخذ الله ميثـٰق النبيـۧن لما ءاتيتكم من كتـٰب وحكمة ثم جاءكم رسول مصدق لما معكم لتؤمنن به ولتنصرنه ۚ قال ءاقررتم واخذتم علىٰ ذٰلكم اصرى ۖ قالوا اقررنا ۚ قال فاشهدوا وانا۠ معكم من الشـٰهدين,Tafsir text placeholder for verse 3:81
3:82,فمن تولىٰ بعد ذٰلك فاولـٰئك هم الفـٰسقون,Tafsir text placeholder for verse 3:82
3:83,افغير دين الله يبغون وله اسلم من فى السمـٰوٰت والارض طوعا وكرها واليه يرجعون,Tafsir text placeholder for verse 3:83
3:84,قل ءامنا بالله وما انزل علينا وما انزل علىٰ ابرٰهيم واسمـٰعيل واسحـٰق ويعقوب والاسباط وما اوتى موسىٰ وعيسىٰ والنبيون من ربهم لا نفرق بين احد منهم ونحن له مسلمون,Tafsir text placeholder for verse 3:84
3:85,ومن يبتغ غير الاسلـٰم دينا فلن يقبل منه وهو فى الـٔاخرة من الخـٰسرين,Tafsir text placeholder for verse 3:85
3:86,كيف يهدى الله قوما كفروا بعد ايمـٰنهم وشهدوا ان الرسول حق وجاءهم البينـٰت ۚ والله لا يهدى القوم الظـٰلمين,Tafsir text placeholder for verse 3:86
3:87,اولـٰئك جزاؤهم ان عليهم لعنة الله والملـٰئكة والناس اجمعين,Tafsir text placeholder for verse 3:87
3:88,خـٰلدين فيها لا يخفف عنهم العذاب ولا هم ينظرون,Tafsir text placeholder for verse 3:88
3:89,الا الذين تابوا من بعد ذٰلك واصلحوا فان الله غفور رحيم,Tafsir text placeholder for verse 3:89
3:90,ان الذين كفروا بعد ايمـٰنهم ثم ازدادوا كفرا لن تقبل توبتهم واولـٰئك هم الضالون,Tafsir text placeholder for verse 3:90
3:91,ان الذين كفروا وماتوا وهم كفار فلن يقبل من احدهم ملء الارض ذهبا ولو افتدىٰ به ۗ اولـٰئك لهم عذاب اليم وما لهم من نـٰصرين,Tafsir text placeholder for verse 3:91
3:92,لن تنالوا البر حتىٰ تنفقوا مما تحبون ۚ وما تنفقوا من شىء فان الله به عليم,Tafsir text placeholder for verse 3:92
3:93,كل الطعام كان حلا لبنى اسرٰءيل الا ما حرم اسرٰءيل علىٰ نفسه من قبل ان تنزل التورىٰة ۗ قل فاتوا بالتورىٰة فاتلوها ان كنتم صـٰدقين,Tafsir text placeholder for verse 3:93
3:94,فمن افترىٰ على الله الكذب من بعد ذٰلك فاولـٰئك هم الظـٰلمون,Tafsir text placeholder for verse 3:94
3:95,قل صدق الله ۗ فاتبعوا ملة ابرٰهيم حنيفا وما كان من المشركين,Tafsir text placeholder for verse 3:95
3:96,ان اول بيت وضع للناس للذى ببكة مباركا وهدى للعـٰلمين,Tafsir text placeholder for verse 3:96
3:97,فيه ءايـٰت بينـٰت مقام ابرٰهيم ۖ ومن دخله كان ءامنا ۗ ولله على الناس حج البيت من استطاع اليه سبيلا ۚ ومن كفر فان الله غنى عن العـٰلمين,Tafsir text placeholder for verse 3:97
3:98,قل يـٰاهل الكتـٰب لم تكفرون بـٔايـٰت الله والله شهيد علىٰ ما تعملون,Tafsir text placeholder for verse 3:98
3:99,قل يـٰاهل الكتـٰب لم تصدون عن سبيل الله من ءامن تبغونها عوجا وانتم شهداء ۗ وما الله بغـٰفل عما تعملون,Tafsir text placeholder for verse 3:99
3:100,يـٰايها الذين ءامنوا ان تطيعوا فريقا من الذين اوتوا الكتـٰب يردوكم بعد ايمـٰنكم كـٰفرين,Tafsir text placeholder for verse 3:100
3:101,وكيف تكفرون وانتم تتلىٰ عليكم ءايـٰت الله وفيكم رسوله ۗ ومن يعتصم بالله فقد هدى الىٰ صرٰط مستقيم,Tafsir text placeholder for verse 3:101
3:102,يـٰايها الذين ءامنوا اتقوا الله حق تقاته ولا تموتن الا وانتم مسلمون,Tafsir text placeholder for verse 3:102
3:103,واعتصموا بحبل الله جميعا ولا تفرقوا ۚ واذكروا نعمت الله عليكم اذ كنتم اعداء فالف بين قلوبكم فاصبحتم بنعمته اخوٰنا وكنتم علىٰ شفا حفرة من النار فانقذكم منها ۗ كذٰلك يبين الله لكم ءايـٰته لعلكم تهتدون,Tafsir text placeholder for verse 3:103
3:104,ولتكن منكم امة يدعون الى الخير ويامرون بالمعروف وينهون عن المنكر ۚ واولـٰئك هم المفلحون,Tafsir text placeholder for verse 3:104
3:105,ولا تكونوا كالذين تفرقوا واختلفوا من بعد ما جاءهم البينـٰت ۚ واولـٰئك لهم عذاب عظيم,Tafsir text placeholder for verse 3:105
3:106,يوم تبيض وجوه وتسود وجوه ۚ فاما الذين اسودت وجوههم اكفرتم بعد ايمـٰنكم فذوقوا العذاب بما كنتم تكفرون,Tafsir text placeholder for verse 3:106
3:107,واما الذين ابيضت وجوههم ففى رحمة الله هم فيها خـٰلدون,Tafsir text placeholder for verse 3:107
3:108,تلك ءايـٰت الله نتلوها عليك بالحق ۗ وما الله يريد ظلما للعـٰلمين,Tafsir text placeholder for verse 3:108
3:109,ولله ما فى السمـٰوٰت وما فى الارض ۚ والى الله ترجع الامور,Tafsir text placeholder for verse 3:109
3:110,كنتم خير امة اخرجت للناس تامرون بالمعروف وتنهون عن المنكر وتؤمنون بالله ۗ ولو ءامن اهل الكتـٰب لكان خيرا لهم ۚ منهم المؤمنون واكثرهم الفـٰسقون,Tafsir text placeholder for verse 3:110
3:111,لن يضروكم الا اذى ۖ وان يقـٰتلوكم يولوكم الادبار ثم لا ينصرون,Tafsir text placeholder for verse 3:111
3:112,ضربت عليهم الذلة اين ما ثقفوا الا بحبل من الله وحبل من الناس وباءو بغضب من الله وضربت عليهم المسكنة ۚ ذٰلك بانهم كانوا يكفرون بـٔايـٰت الله ويقتلون الانبياء بغير حق ۚ ذٰلك بما عصوا وكانوا يعتدون,Tafsir text placeholder for verse 3:112
3:113,ليسوا سواء ۗ من اهل الكتـٰب امة قائمة يتلون ءايـٰت الله ءاناء اليل وهم يسجدون,Tafsir text placeholder for verse 3:113
3:114,يؤمنون بالله واليوم الـٔاخر ويامرون بالمعروف وينهون عن المنكر ويسـٰرعون فى الخيرٰت واولـٰئك من الصـٰلحين,Tafsir text placeholder for verse 3:114
3:115,وما يفعلوا من خير فلن يكفروه ۗ والله عليم بالمتقين,Tafsir text placeholder for verse 3:115
