verse_key,text_original,clean_verse
6:49,وَالَّذينَ كَذَّبوا بِـٔايـٰتِنا يَمَسُّهُمُ العَذابُ بِما كانوا يَفسُقونَ,والذين كذبوا بـٔايـٰتنا يمسهم العذاب بما كانوا يفسقون
6:50,قُل لا أَقولُ لَكُم عِندى خَزائِنُ اللَّهِ وَلا أَعلَمُ الغَيبَ وَلا أَقولُ لَكُم إِنّى مَلَكٌ ۖ إِن أَتَّبِعُ إِلّا ما يوحىٰ إِلَىَّ ۚ قُل هَل يَستَوِى الأَعمىٰ وَالبَصيرُ ۚ أَفَلا تَتَفَكَّرونَ,قل لا اقول لكم عندى خزائن الله ولا اعلم الغيب ولا اقول لكم انى ملك ۖ ان اتبع الا ما يوحىٰ الى ۚ قل هل يستوى الاعمىٰ والبصير ۚ افلا تتفكرون
6:51,وَأَنذِر بِهِ الَّذينَ يَخافونَ أَن يُحشَروا إِلىٰ رَبِّهِم ۙ لَيسَ لَهُم مِن دونِهِ وَلِىٌّ وَلا شَفيعٌ لَعَلَّهُم يَتَّقونَ,وانذر به الذين يخافون ان يحشروا الىٰ ربهم ۙ ليس لهم من دونه ولى ولا شفيع لعلهم يتقون
6:52,وَلا تَطرُدِ الَّذينَ يَدعونَ رَبَّهُم بِالغَدوٰةِ وَالعَشِىِّ يُريدونَ وَجهَهُ ۖ ما عَلَيكَ مِن حِسابِهِم مِن شَىءٍ وَما مِن حِسابِكَ عَلَيهِم مِن شَىءٍ فَتَطرُدَهُم فَتَكونَ مِنَ الظّـٰلِمينَ,ولا تطرد الذين يدعون ربهم بالغدوٰة والعشى يريدون وجهه ۖ ما عليك من حسابهم من شىء وما من حسابك عليهم من شىء فتطردهم فتكون من الظـٰلمين
6:53,وَكَذٰلِكَ فَتَنّا بَعضَهُم بِبَعضٍ لِيَقولوا أَهـٰؤُلاءِ مَنَّ اللَّهُ عَلَيهِم مِن بَينِنا ۗ أَلَيسَ اللَّهُ بِأَعلَمَ بِالشّـٰكِرينَ,وكذٰلك فتنا بعضهم ببعض ليقولوا اهـٰؤلاء من الله عليهم من بيننا ۗ اليس الله باعلم بالشـٰكرين
6:54,وَإِذا جاءَكَ الَّذينَ يُؤمِنونَ بِـٔايـٰتِنا فَقُل سَلـٰمٌ عَلَيكُم ۖ كَتَبَ رَبُّكُم عَلىٰ نَفسِهِ الرَّحمَةَ ۖ أَنَّهُ مَن عَمِلَ مِنكُم سوءًا بِجَهـٰلَةٍ ثُمَّ تابَ مِن بَعدِهِ وَأَصلَحَ فَأَنَّهُ غَفورٌ رَحيمٌ,واذا جاءك الذين يؤمنون بـٔايـٰتنا فقل سلـٰم عليكم ۖ كتب ربكم علىٰ نفسه الرحمة ۖ انه من عمل منكم سوءا بجهـٰلة ثم تاب من بعده واصلح فانه غفور رحيم
6:55,وَكَذٰلِكَ نُفَصِّلُ الـٔايـٰتِ وَلِتَستَبينَ سَبيلُ المُجرِمينَ,وكذٰلك نفصل الـٔايـٰت ولتستبين سبيل المجرمين
6:56,قُل إِنّى نُهيتُ أَن أَعبُدَ الَّذينَ تَدعونَ مِن دونِ اللَّهِ ۚ قُل لا أَتَّبِعُ أَهواءَكُم ۙ قَد ضَلَلتُ إِذًا وَما أَنا۠ مِنَ المُهتَدينَ,قل انى نهيت ان اعبد الذين تدعون من دون الله ۚ قل لا اتبع اهواءكم ۙ قد ضللت اذا وما انا۠ من المهتدين
6:57,قُل إِنّى عَلىٰ بَيِّنَةٍ مِن رَبّى وَكَذَّبتُم بِهِ ۚ ما عِندى ما تَستَعجِلونَ بِهِ ۚ إِنِ الحُكمُ إِلّا لِلَّهِ ۖ يَقُصُّ الحَقَّ ۖ وَهُوَ خَيرُ الفـٰصِلينَ,قل انى علىٰ بينة من ربى وكذبتم به ۚ ما عندى ما تستعجلون به ۚ ان الحكم الا لله ۖ يقص الحق ۖ وهو خير الفـٰصلين
6:58,قُل لَو أَنَّ عِندى ما تَستَعجِلونَ بِهِ لَقُضِىَ الأَمرُ بَينى وَبَينَكُم ۗ وَاللَّهُ أَعلَمُ بِالظّـٰلِمينَ,قل لو ان عندى ما تستعجلون به لقضى الامر بينى وبينكم ۗ والله اعلم بالظـٰلمين
6:59,وَعِندَهُ مَفاتِحُ الغَيبِ لا يَعلَمُها إِلّا هُوَ ۚ وَيَعلَمُ ما فِى البَرِّ وَالبَحرِ ۚ وَما تَسقُطُ مِن وَرَقَةٍ إِلّا يَعلَمُها وَلا حَبَّةٍ فى ظُلُمـٰتِ الأَرضِ وَلا رَطبٍ وَلا يابِسٍ إِلّا فى كِتـٰبٍ مُبينٍ,وعنده مفاتح الغيب لا يعلمها الا هو ۚ ويعلم ما فى البر والبحر ۚ وما تسقط من ورقة الا يعلمها ولا حبة فى ظلمـٰت الارض ولا رطب ولا يابس الا فى كتـٰب مبين
6:60,وَهُوَ الَّذى يَتَوَفّىٰكُم بِالَّيلِ وَيَعلَمُ ما جَرَحتُم بِالنَّهارِ ثُمَّ يَبعَثُكُم فيهِ لِيُقضىٰ أَجَلٌ مُسَمًّى ۖ ثُمَّ إِلَيهِ مَرجِعُكُم ثُمَّ يُنَبِّئُكُم بِما كُنتُم تَعمَلونَ,وهو الذى يتوفىٰكم باليل ويعلم ما جرحتم بالنهار ثم يبعثكم فيه ليقضىٰ اجل مسمى ۖ ثم اليه مرجعكم ثم ينبئكم بما كنتم تعملون
6:61,وَهُوَ القاهِرُ فَوقَ عِبادِهِ ۖ وَيُرسِلُ عَلَيكُم حَفَظَةً حَتّىٰ إِذا جاءَ أَحَدَكُمُ المَوتُ تَوَفَّتهُ رُسُلُنا وَهُم لا يُفَرِّطونَ,وهو القاهر فوق عباده ۖ ويرسل عليكم حفظة حتىٰ اذا جاء احدكم الموت توفته رسلنا وهم لا يفرطون
6:62,ثُمَّ رُدّوا إِلَى اللَّهِ مَولىٰهُمُ الحَقِّ ۚ أَلا لَهُ الحُكمُ وَهُوَ أَسرَعُ الحـٰسِبينَ,ثم ردوا الى الله مولىٰهم الحق ۚ الا له الحكم وهو اسرع الحـٰسبين
6:63,قُل مَن يُنَجّيكُم مِن ظُلُمـٰتِ البَرِّ وَالبَحرِ تَدعونَهُ تَضَرُّعًا وَخُفيَةً لَئِن أَنجىٰنا مِن هـٰذِهِ لَنَكونَنَّ مِنَ الشّـٰكِرينَ,قل من ينجيكم من ظلمـٰت البر والبحر تدعونه تضرعا وخفية لئن انجىٰنا من هـٰذه لنكونن من الشـٰكرين
6:64,قُلِ اللَّهُ يُنَجّيكُم مِنها وَمِن كُلِّ كَربٍ ثُمَّ أَنتُم تُشرِكونَ,قل الله ينجيكم منها ومن كل كرب ثم انتم تشركون
6:65,قُل هُوَ القادِرُ عَلىٰ أَن يَبعَثَ عَلَيكُم عَذابًا مِن فَوقِكُم أَو مِن تَحتِ أَرجُلِكُم أَو يَلبِسَكُم شِيَعًا وَيُذيقَ بَعضَكُم بَأسَ بَعضٍ ۗ انظُر كَيفَ نُصَرِّفُ الـٔايـٰتِ لَعَلَّهُم يَفقَهونَ,قل هو القادر علىٰ ان يبعث عليكم عذابا من فوقكم او من تحت ارجلكم او يلبسكم شيعا ويذيق بعضكم باس بعض ۗ انظر كيف نصرف الـٔايـٰت لعلهم يفقهون
6:66,وَكَذَّبَ بِهِ قَومُكَ وَهُوَ الحَقُّ ۚ قُل لَستُ عَلَيكُم بِوَكيلٍ,وكذب به قومك وهو الحق ۚ قل لست عليكم بوكيل
6:67,لِكُلِّ نَبَإٍ مُستَقَرٌّ ۚ وَسَوفَ تَعلَمونَ,لكل نبا مستقر ۚ وسوف تعلمون
6:68,وَإِذا رَأَيتَ الَّذينَ يَخوضونَ فى ءايـٰتِنا فَأَعرِض عَنهُم حَتّىٰ يَخوضوا فى حَديثٍ غَيرِهِ ۚ وَإِمّا يُنسِيَنَّكَ الشَّيطـٰنُ فَلا تَقعُد بَعدَ الذِّكرىٰ مَعَ القَومِ الظّـٰلِمينَ,واذا رايت الذين يخوضون فى ءايـٰتنا فاعرض عنهم حتىٰ يخوضوا فى حديث غيره ۚ واما ينسينك الشيطـٰن فلا تقعد بعد الذكرىٰ مع القوم الظـٰلمين
6:69,وَما عَلَى الَّذينَ يَتَّقونَ مِن حِسابِهِم مِن شَىءٍ وَلـٰكِن ذِكرىٰ لَعَلَّهُم يَتَّقونَ,وما على الذين يتقون من حسابهم من شىء ولـٰكن ذكرىٰ لعلهم يتقون
6:70,وَذَرِ الَّذينَ اتَّخَذوا دينَهُم لَعِبًا وَلَهوًا وَغَرَّتهُمُ الحَيوٰةُ الدُّنيا ۚ وَذَكِّر بِهِ أَن تُبسَلَ نَفسٌ بِما كَسَبَت لَيسَ لَها مِن دونِ اللَّهِ وَلِىٌّ وَلا شَفيعٌ وَإِن تَعدِل كُلَّ عَدلٍ لا يُؤخَذ مِنها ۗ أُولـٰئِكَ الَّذينَ أُبسِلوا بِما كَسَبوا ۖ لَهُم شَرابٌ مِن حَميمٍ وَعَذابٌ أَليمٌ بِما كانوا يَكفُرونَ,وذر الذين اتخذوا دينهم لعبا ولهوا وغرتهم الحيوٰة الدنيا ۚ وذكر به ان تبسل نفس بما كسبت ليس لها من دون الله ولى ولا شفيع وان تعدل كل عدل لا يؤخذ منها ۗ اولـٰئك الذين ابسلوا بما كسبوا ۖ لهم شراب من حميم وعذاب اليم بما كانوا يكفرون
6:71,قُل أَنَدعوا مِن دونِ اللَّهِ ما لا يَنفَعُنا وَلا يَضُرُّنا وَنُرَدُّ عَلىٰ أَعقابِنا بَعدَ إِذ هَدىٰنَا اللَّهُ كَالَّذِى استَهوَتهُ الشَّيـٰطينُ فِى الأَرضِ حَيرانَ لَهُ أَصحـٰبٌ يَدعونَهُ إِلَى الهُدَى ائتِنا ۗ قُل إِنَّ هُدَى اللَّهِ هُوَ الهُدىٰ ۖ وَأُمِرنا لِنُسلِمَ لِرَبِّ العـٰلَمينَ,قل اندعوا من دون الله ما لا ينفعنا ولا يضرنا ونرد علىٰ اعقابنا بعد اذ هدىٰنا الله كالذى استهوته الشيـٰطين فى الارض حيران له اصحـٰب يدعونه الى الهدى ائتنا ۗ قل ان هدى الله هو الهدىٰ ۖ وامرنا لنسلم لرب العـٰلمين
6:72,وَأَن أَقيمُوا الصَّلوٰةَ وَاتَّقوهُ ۚ وَهُوَ الَّذى إِلَيهِ تُحشَرونَ,وان اقيموا الصلوٰة واتقوه ۚ وهو الذى اليه تحشرون
6:73,وَهُوَ الَّذى خَلَقَ السَّمـٰوٰتِ وَالأَرضَ بِالحَقِّ ۖ وَيَومَ يَقولُ كُن فَيَكونُ ۚ قَولُهُ الحَقُّ ۚ وَلَهُ المُلكُ يَومَ يُنفَخُ فِى الصّورِ ۚ عـٰلِمُ الغَيبِ وَالشَّهـٰدَةِ ۚ وَهُوَ الحَكيمُ الخَبيرُ,وهو الذى خلق السمـٰوٰت والارض بالحق ۖ ويوم يقول كن فيكون ۚ قوله الحق ۚ وله الملك يوم ينفخ فى الصور ۚ عـٰلم الغيب والشهـٰدة ۚ وهو الحكيم الخبير
6:74,وَإِذ قالَ إِبرٰهيمُ لِأَبيهِ ءازَرَ أَتَتَّخِذُ أَصنامًا ءالِهَةً ۖ إِنّى أَرىٰكَ وَقَومَكَ فى ضَلـٰلٍ مُبينٍ,واذ قال ابرٰهيم لابيه ءازر اتتخذ اصناما ءالهة ۖ انى ارىٰك وقومك فى ضلـٰل مبين
6:75,وَكَذٰلِكَ نُرى إِبرٰهيمَ مَلَكوتَ السَّمـٰوٰتِ وَالأَرضِ وَلِيَكونَ مِنَ الموقِنينَ,وكذٰلك نرى ابرٰهيم ملكوت السمـٰوٰت والارض وليكون من الموقنين
6:76,فَلَمّا جَنَّ عَلَيهِ الَّيلُ رَءا كَوكَبًا ۖ قالَ هـٰذا رَبّى ۖ فَلَمّا أَفَلَ قالَ لا أُحِبُّ الـٔافِلينَ,فلما جن عليه اليل رءا كوكبا ۖ قال هـٰذا ربى ۖ فلما افل قال لا احب الـٔافلين
6:77,فَلَمّا رَءَا القَمَرَ بازِغًا قالَ هـٰذا رَبّى ۖ فَلَمّا أَفَلَ قالَ لَئِن لَم يَهدِنى رَبّى لَأَكونَنَّ مِنَ القَومِ الضّالّينَ,فلما رءا القمر بازغا قال هـٰذا ربى ۖ فلما افل قال لئن لم يهدنى ربى لاكونن من القوم الضالين
6:78,فَلَمّا رَءَا الشَّمسَ بازِغَةً قالَ هـٰذا رَبّى هـٰذا أَكبَرُ ۖ فَلَمّا أَفَلَت قالَ يـٰقَومِ إِنّى بَرىءٌ مِمّا تُشرِكونَ,فلما رءا الشمس بازغة قال هـٰذا ربى هـٰذا اكبر ۖ فلما افلت قال يـٰقوم انى برىء مما تشركون
6:79,إِنّى وَجَّهتُ وَجهِىَ لِلَّذى فَطَرَ السَّمـٰوٰتِ وَالأَرضَ حَنيفًا ۖ وَما أَنا۠ مِنَ المُشرِكينَ,انى وجهت وجهى للذى فطر السمـٰوٰت والارض حنيفا ۖ وما انا۠ من المشركين
6:80,وَحاجَّهُ قَومُهُ ۚ قالَ أَتُحـٰجّونّى فِى اللَّهِ وَقَد هَدىٰنِ ۚ وَلا أَخافُ ما تُشرِكونَ بِهِ إِلّا أَن يَشاءَ رَبّى شَيـًٔا ۗ وَسِعَ رَبّى كُلَّ شَىءٍ عِلمًا ۗ أَفَلا تَتَذَكَّرونَ,وحاجه قومه ۚ قال اتحـٰجونى فى الله وقد هدىٰن ۚ ولا اخاف ما تشركون به الا ان يشاء ربى شيـٔا ۗ وسع ربى كل شىء علما ۗ افلا تتذكرون
6:81,وَكَيفَ أَخافُ ما أَشرَكتُم وَلا تَخافونَ أَنَّكُم أَشرَكتُم بِاللَّهِ ما لَم يُنَزِّل بِهِ عَلَيكُم سُلطـٰنًا ۚ فَأَىُّ الفَريقَينِ أَحَقُّ بِالأَمنِ ۖ إِن كُنتُم تَعلَمونَ,وكيف اخاف ما اشركتم ولا تخافون انكم اشركتم بالله ما لم ينزل به عليكم سلطـٰنا ۚ فاى الفريقين احق بالامن ۖ ان كنتم تعلمون
6:82,الَّذينَ ءامَنوا وَلَم يَلبِسوا إيمـٰنَهُم بِظُلمٍ أُولـٰئِكَ لَهُمُ الأَمنُ وَهُم مُهتَدونَ,الذين ءامنوا ولم يلبسوا ايمـٰنهم بظلم اولـٰئك لهم الامن وهم مهتدون
6:83,وَتِلكَ حُجَّتُنا ءاتَينـٰها إِبرٰهيمَ عَلىٰ قَومِهِ ۚ نَرفَعُ دَرَجـٰتٍ مَن نَشاءُ ۗ إِنَّ رَبَّكَ حَكيمٌ عَليمٌ,وتلك حجتنا ءاتينـٰها ابرٰهيم علىٰ قومه ۚ نرفع درجـٰت من نشاء ۗ ان ربك حكيم عليم
6:84,وَوَهَبنا لَهُ إِسحـٰقَ وَيَعقوبَ ۚ كُلًّا هَدَينا ۚ وَنوحًا هَدَينا مِن قَبلُ ۖ وَمِن ذُرِّيَّتِهِ داوۥدَ وَسُلَيمـٰنَ وَأَيّوبَ وَيوسُفَ وَموسىٰ وَهـٰرونَ ۚ وَكَذٰلِكَ نَجزِى المُحسِنينَ,ووهبنا له اسحـٰق ويعقوب ۚ كلا هدينا ۚ ونوحا هدينا من قبل ۖ ومن ذريته داوۥد وسليمـٰن وايوب ويوسف وموسىٰ وهـٰرون ۚ وكذٰلك نجزى المحسنين
6:85,وَزَكَرِيّا وَيَحيىٰ وَعيسىٰ وَإِلياسَ ۖ كُلٌّ مِنَ الصّـٰلِحينَ,وزكريا ويحيىٰ وعيسىٰ والياس ۖ كل من الصـٰلحين
6:86,وَإِسمـٰعيلَ وَاليَسَعَ وَيونُسَ وَلوطًا ۚ وَكُلًّا فَضَّلنا عَلَى العـٰلَمينَ,واسمـٰعيل واليسع ويونس ولوطا ۚ وكلا فضلنا على العـٰلمين
6:87,وَمِن ءابائِهِم وَذُرِّيّـٰتِهِم وَإِخوٰنِهِم ۖ وَاجتَبَينـٰهُم وَهَدَينـٰهُم إِلىٰ صِرٰطٍ مُستَقيمٍ,ومن ءابائهم وذريـٰتهم واخوٰنهم ۖ واجتبينـٰهم وهدينـٰهم الىٰ صرٰط مستقيم
6:88,ذٰلِكَ هُدَى اللَّهِ يَهدى بِهِ مَن يَشاءُ مِن عِبادِهِ ۚ وَلَو أَشرَكوا لَحَبِطَ عَنهُم ما كانوا يَعمَلونَ,ذٰلك هدى الله يهدى به من يشاء من عباده ۚ ولو اشركوا لحبط عنهم ما كانوا يعملون
6:89,أُولـٰئِكَ الَّذينَ ءاتَينـٰهُمُ الكِتـٰبَ وَالحُكمَ وَالنُّبُوَّةَ ۚ فَإِن يَكفُر بِها هـٰؤُلاءِ فَقَد وَكَّلنا بِها قَومًا لَيسوا بِها بِكـٰفِرينَ,اولـٰئك الذين ءاتينـٰهم الكتـٰب والحكم والنبوة ۚ فان يكفر بها هـٰؤلاء فقد وكلنا بها قوما ليسوا بها بكـٰفرين
6:90,أُولـٰئِكَ الَّذينَ هَدَى اللَّهُ ۖ فَبِهُدىٰهُمُ اقتَدِه ۗ قُل لا أَسـَٔلُكُم عَلَيهِ أَجرًا ۖ إِن هُوَ إِلّا ذِكرىٰ لِلعـٰلَمينَ,اولـٰئك الذين هدى الله ۖ فبهدىٰهم اقتده ۗ قل لا اسـٔلكم عليه اجرا ۖ ان هو الا ذكرىٰ للعـٰلمين
6:91,وَما قَدَرُوا اللَّهَ حَقَّ قَدرِهِ إِذ قالوا ما أَنزَلَ اللَّهُ عَلىٰ بَشَرٍ مِن شَىءٍ ۗ قُل مَن أَنزَلَ الكِتـٰبَ الَّذى جاءَ بِهِ موسىٰ نورًا وَهُدًى لِلنّاسِ ۖ تَجعَلونَهُ قَراطيسَ تُبدونَها وَتُخفونَ كَثيرًا ۖ وَعُلِّمتُم ما لَم تَعلَموا أَنتُم وَلا ءاباؤُكُم ۖ قُلِ اللَّهُ ۖ ثُمَّ ذَرهُم فى خَوضِهِم يَلعَبونَ,وما قدروا الله حق قدره اذ قالوا ما انزل الله علىٰ بشر من شىء ۗ قل من انزل الكتـٰب الذى جاء به موسىٰ نورا وهدى للناس ۖ تجعلونه قراطيس تبدونها وتخفون كثيرا ۖ وعلمتم ما لم تعلموا انتم ولا ءاباؤكم ۖ قل الله ۖ ثم ذرهم فى خوضهم يلعبون
6:92,وَهـٰذا كِتـٰبٌ أَنزَلنـٰهُ مُبارَكٌ مُصَدِّقُ الَّذى بَينَ يَدَيهِ وَلِتُنذِرَ أُمَّ القُرىٰ وَمَن حَولَها ۚ وَالَّذينَ يُؤمِنونَ بِالـٔاخِرَةِ يُؤمِنونَ بِهِ ۖ وَهُم عَلىٰ صَلاتِهِم يُحافِظونَ,وهـٰذا كتـٰب انزلنـٰه مبارك مصدق الذى بين يديه ولتنذر ام القرىٰ ومن حولها ۚ والذين يؤمنون بالـٔاخرة يؤمنون به ۖ وهم علىٰ صلاتهم يحافظون
6:93,وَمَن أَظلَمُ مِمَّنِ افتَرىٰ عَلَى اللَّهِ كَذِبًا أَو قالَ أوحِىَ إِلَىَّ وَلَم يوحَ إِلَيهِ شَىءٌ وَمَن قالَ سَأُنزِلُ مِثلَ ما أَنزَلَ اللَّهُ ۗ وَلَو تَرىٰ إِذِ الظّـٰلِمونَ فى غَمَرٰتِ المَوتِ وَالمَلـٰئِكَةُ باسِطوا أَيديهِم أَخرِجوا أَنفُسَكُمُ ۖ اليَومَ تُجزَونَ عَذابَ الهونِ بِما كُنتُم تَقولونَ عَلَى اللَّهِ غَيرَ الحَقِّ وَكُنتُم عَن ءايـٰتِهِ تَستَكبِرونَ,ومن اظلم ممن افترىٰ على الله كذبا او قال اوحى الى ولم يوح اليه شىء ومن قال سانزل مثل ما انزل الله ۗ ولو ترىٰ اذ الظـٰلمون فى غمرٰت الموت والملـٰئكة باسطوا ايديهم اخرجوا انفسكم ۖ اليوم تجزون عذاب الهون بما كنتم تقولون على الله غير الحق وكنتم عن ءايـٰته تستكبرون
6:94,وَلَقَد جِئتُمونا فُرٰدىٰ كَما خَلَقنـٰكُم أَوَّلَ مَرَّةٍ وَتَرَكتُم ما خَوَّلنـٰكُم وَراءَ ظُهورِكُم ۖ وَما نَرىٰ مَعَكُم شُفَعاءَكُمُ الَّذينَ زَعَمتُم أَنَّهُم فيكُم شُرَكـٰؤُا۟ ۚ لَقَد تَقَطَّعَ بَينَكُم وَضَلَّ عَنكُم ما كُنتُم تَزعُمونَ,ولقد جئتمونا فرٰدىٰ كما خلقنـٰكم اول مرة وتركتم ما خولنـٰكم وراء ظهوركم ۖ وما نرىٰ معكم شفعاءكم الذين زعمتم انهم فيكم شركـٰؤا۟ ۚ لقد تقطع بينكم وضل عنكم ما كنتم تزعمون
6:95,إِنَّ اللَّهَ فالِقُ الحَبِّ وَالنَّوىٰ ۖ يُخرِجُ الحَىَّ مِنَ المَيِّتِ وَمُخرِجُ المَيِّتِ مِنَ الحَىِّ ۚ ذٰلِكُمُ اللَّهُ ۖ فَأَنّىٰ تُؤفَكونَ,ان الله فالق الحب والنوىٰ ۖ يخرج الحى من الميت ومخرج الميت من الحى ۚ ذٰلكم الله ۖ فانىٰ تؤفكون
6:96,فالِقُ الإِصباحِ وَجَعَلَ الَّيلَ سَكَنًا وَالشَّمسَ وَالقَمَرَ حُسبانًا ۚ ذٰلِكَ تَقديرُ العَزيزِ العَليمِ,فالق الاصباح وجعل اليل سكنا والشمس والقمر حسبانا ۚ ذٰلك تقدير العزيز العليم
6:97,وَهُوَ الَّذى جَعَلَ لَكُمُ النُّجومَ لِتَهتَدوا بِها فى ظُلُمـٰتِ البَرِّ وَالبَحرِ ۗ قَد فَصَّلنَا الـٔايـٰتِ لِقَومٍ يَعلَمونَ,وهو الذى جعل لكم النجوم لتهتدوا بها فى ظلمـٰت البر والبحر ۗ قد فصلنا الـٔايـٰت لقوم يعلمون
6:98,وَهُوَ الَّذى أَنشَأَكُم مِن نَفسٍ وٰحِدَةٍ فَمُستَقَرٌّ وَمُستَودَعٌ ۗ قَد فَصَّلنَا الـٔايـٰتِ لِقَومٍ يَفقَهونَ,وهو الذى انشاكم من نفس وٰحدة فمستقر ومستودع ۗ قد فصلنا الـٔايـٰت لقوم يفقهون
6:99,وَهُوَ الَّذى أَنزَلَ مِنَ السَّماءِ ماءً فَأَخرَجنا بِهِ نَباتَ كُلِّ شَىءٍ فَأَخرَجنا مِنهُ خَضِرًا نُخرِجُ مِنهُ حَبًّا مُتَراكِبًا وَمِنَ النَّخلِ مِن طَلعِها قِنوانٌ دانِيَةٌ وَجَنّـٰتٍ مِن أَعنابٍ وَالزَّيتونَ وَالرُّمّانَ مُشتَبِهًا وَغَيرَ مُتَشـٰبِهٍ ۗ انظُروا إِلىٰ ثَمَرِهِ إِذا أَثمَرَ وَيَنعِهِ ۚ إِنَّ فى ذٰلِكُم لَـٔايـٰتٍ لِقَومٍ يُؤمِنونَ,وهو الذى انزل من السماء ماء فاخرجنا به نبات كل شىء فاخرجنا منه خضرا نخرج منه حبا متراكبا ومن النخل من طلعها قنوان دانية وجنـٰت من اعناب والزيتون والرمان مشتبها وغير متشـٰبه ۗ انظروا الىٰ ثمره اذا اثمر وينعه ۚ ان فى ذٰلكم لـٔايـٰت لقوم يؤمنون
6:100,وَجَعَلوا لِلَّهِ شُرَكاءَ الجِنَّ وَخَلَقَهُم ۖ وَخَرَقوا لَهُ بَنينَ وَبَنـٰتٍ بِغَيرِ عِلمٍ ۚ سُبحـٰنَهُ وَتَعـٰلىٰ عَمّا يَصِفونَ,وجعلوا لله شركاء الجن وخلقهم ۖ وخرقوا له بنين وبنـٰت بغير علم ۚ سبحـٰنه وتعـٰلىٰ عما يصفون
6:101,بَديعُ السَّمـٰوٰتِ وَالأَرضِ ۖ أَنّىٰ يَكونُ لَهُ وَلَدٌ وَلَم تَكُن لَهُ صـٰحِبَةٌ ۖ وَخَلَقَ كُلَّ شَىءٍ ۖ وَهُوَ بِكُلِّ شَىءٍ عَليمٌ,بديع السمـٰوٰت والارض ۖ انىٰ يكون له ولد ولم تكن له صـٰحبة ۖ وخلق كل شىء ۖ وهو بكل شىء عليم
6:102,ذٰلِكُمُ اللَّهُ رَبُّكُم ۖ لا إِلـٰهَ إِلّا هُوَ ۖ خـٰلِقُ كُلِّ شَىءٍ فَاعبُدوهُ ۚ وَهُوَ عَلىٰ كُلِّ شَىءٍ وَكيلٌ,ذٰلكم الله ربكم ۖ لا الـٰه الا هو ۖ خـٰلق كل شىء فاعبدوه ۚ وهو علىٰ كل شىء وكيل
6:103,لا تُدرِكُهُ الأَبصـٰرُ وَهُوَ يُدرِكُ الأَبصـٰرَ ۖ وَهُوَ اللَّطيفُ الخَبيرُ,لا تدركه الابصـٰر وهو يدرك الابصـٰر ۖ وهو اللطيف الخبير
6:104,قَد جاءَكُم بَصائِرُ مِن رَبِّكُم ۖ فَمَن أَبصَرَ فَلِنَفسِهِ ۖ وَمَن عَمِىَ فَعَلَيها ۚ وَما أَنا۠ عَلَيكُم بِحَفيظٍ,قد جاءكم بصائر من ربكم ۖ فمن ابصر فلنفسه ۖ ومن عمى فعليها ۚ وما انا۠ عليكم بحفيظ
6:105,وَكَذٰلِكَ نُصَرِّفُ الـٔايـٰتِ وَلِيَقولوا دَرَستَ وَلِنُبَيِّنَهُ لِقَومٍ يَعلَمونَ,وكذٰلك نصرف الـٔايـٰت وليقولوا درست ولنبينه لقوم يعلمون
6:106,اتَّبِع ما أوحِىَ إِلَيكَ مِن رَبِّكَ ۖ لا إِلـٰهَ إِلّا هُوَ ۖ وَأَعرِض عَنِ المُشرِكينَ,اتبع ما اوحى اليك من ربك ۖ لا الـٰه الا هو ۖ واعرض عن المشركين
6:107,وَلَو شاءَ اللَّهُ ما أَشرَكوا ۗ وَما جَعَلنـٰكَ عَلَيهِم حَفيظًا ۖ وَما أَنتَ عَلَيهِم بِوَكيلٍ,ولو شاء الله ما اشركوا ۗ وما جعلنـٰك عليهم حفيظا ۖ وما انت عليهم بوكيل
6:108,وَلا تَسُبُّوا الَّذينَ يَدعونَ مِن دونِ اللَّهِ فَيَسُبُّوا اللَّهَ عَدوًا بِغَيرِ عِلمٍ ۗ كَذٰلِكَ زَيَّنّا لِكُلِّ أُمَّةٍ عَمَلَهُم ثُمَّ إِلىٰ رَبِّهِم مَرجِعُهُم فَيُنَبِّئُهُم بِما كانوا يَعمَلونَ,ولا تسبوا الذين يدعون من دون الله فيسبوا الله عدوا بغير علم ۗ كذٰلك زينا لكل امة عملهم ثم الىٰ ربهم مرجعهم فينبئهم بما كانوا يعملون
6:109,وَأَقسَموا بِاللَّهِ جَهدَ أَيمـٰنِهِم لَئِن جاءَتهُم ءايَةٌ لَيُؤمِنُنَّ بِها ۚ قُل إِنَّمَا الـٔايـٰتُ عِندَ اللَّهِ ۖ وَما يُشعِرُكُم أَنَّها إِذا جاءَت لا يُؤمِنونَ,واقسموا بالله جهد ايمـٰنهم لئن جاءتهم ءاية ليؤمنن بها ۚ قل انما الـٔايـٰت عند الله ۖ وما يشعركم انها اذا جاءت لا يؤمنون
6:110,وَنُقَلِّبُ أَفـِٔدَتَهُم وَأَبصـٰرَهُم كَما لَم يُؤمِنوا بِهِ أَوَّلَ مَرَّةٍ وَنَذَرُهُم فى طُغيـٰنِهِم يَعمَهونَ,ونقلب افـٔدتهم وابصـٰرهم كما لم يؤمنوا به اول مرة ونذرهم فى طغيـٰنهم يعمهون
